dt,direction,entry_price,base_symbol,features,label,exit_time,exit_price,level_crossed,target,stoploss
2025-08-06 09:30:00,0,24713.2,NIFTY25AUGFUT,"[np.float64(24713.2), np.float64(0.0), np.float64(24713.2), np.float64(24713.833333333332), np.float64(24710.816666666666), np.float64(24716.85), np.float64(24777.666666666664), np.float64(24847.533333333333), np.float64(24911.366666666665), np.float64(24981.233333333334), np.float64(24643.966666666664), np.float64(24580.13333333333), np.float64(24510.266666666663), np.float64(24446.43333333333), np.float64(6.033333333332848), np.float64(0.00024413403902905523), 570, 0, 4, np.float64(0.002801471818029928), np.float64(0.00014769434957827464), -1, np.float64(24707.8), np.float64(24738.9), np.float64(24686.1), np.float64(24713.2), np.float64(0.0)]",,,,bc,24643.966666666664,24716.85
2025-08-06 09:30:00,0,24713.8,NIFTY25AUGFUT,"[np.float64(24713.8), np.float64(0.0), np.float64(24713.8), np.float64(24713.833333333332), np.float64(24710.816666666666), np.float64(24716.85), np.float64(24777.666666666664), np.float64(24847.533333333333), np.float64(24911.366666666665), np.float64(24981.233333333334), np.float64(24643.966666666664), np.float64(24580.13333333333), np.float64(24510.266666666663), np.float64(24446.43333333333), np.float64(6.033333333332848), np.float64(0.0002441281119590208), 570, 0, 4, np.float64(0.0028256817378685497), np.float64(0.000123412830078712), -1, np.float64(24707.8), np.float64(24738.9), np.float64(24686.1), np.float64(24713.8), np.float64(0.0)]",,,,bc,24643.966666666664,24716.85
2025-08-06 09:30:00,0,24713.8,NIFTY25AUGFUT,"[np.float64(24713.8), np.float64(0.0), np.float64(24713.8), np.float64(24713.833333333332), np.float64(24710.816666666666), np.float64(24716.85), np.float64(24777.666666666664), np.float64(24847.533333333333), np.float64(24911.366666666665), np.float64(24981.233333333334), np.float64(24643.966666666664), np.float64(24580.13333333333), np.float64(24510.266666666663), np.float64(24446.43333333333), np.float64(6.033333333332848), np.float64(0.0002441281119590208), 570, 0, 4, np.float64(0.0028256817378685497), np.float64(0.000123412830078712), -1, np.float64(24707.8), np.float64(24738.9), np.float64(24686.1), np.float64(24713.8), np.float64(0.0)]",,,,bc,24643.966666666664,24716.85
2025-08-06 09:30:00,0,24713.8,NIFTY25AUGFUT,"[np.float64(24713.8), np.float64(0.0), np.float64(24713.8), np.float64(24713.833333333332), np.float64(24710.816666666666), np.float64(24716.85), np.float64(24777.666666666664), np.float64(24847.533333333333), np.float64(24911.366666666665), np.float64(24981.233333333334), np.float64(24643.966666666664), np.float64(24580.13333333333), np.float64(24510.266666666663), np.float64(24446.43333333333), np.float64(6.033333333332848), np.float64(0.0002441281119590208), 570, 0, 4, np.float64(0.0028256817378685497), np.float64(0.000123412830078712), -1, np.float64(24707.8), np.float64(24738.9), np.float64(24686.1), np.float64(24713.8), np.float64(0.0)]",,,,bc,24643.966666666664,24716.85
2025-08-06 09:30:00,0,24711.0,NIFTY25AUGFUT,"[np.float64(24711.0), np.float64(0.0), np.float64(24711.0), np.float64(24713.833333333332), np.float64(24710.816666666666), np.float64(24716.85), np.float64(24777.666666666664), np.float64(24847.533333333333), np.float64(24911.366666666665), np.float64(24981.233333333334), np.float64(24643.966666666664), np.float64(24580.13333333333), np.float64(24510.266666666663), np.float64(24446.43333333333), np.float64(6.033333333332848), np.float64(0.00024415577408169834), 570, 0, 4, np.float64(0.002712692053471591), np.float64(0.0002367366759742036), -1, np.float64(24707.8), np.float64(24738.9), np.float64(24686.1), np.float64(24711.0), np.float64(0.0)]",,,,bc,24643.966666666664,24716.85
2025-08-06 09:30:00,0,24711.0,NIFTY25AUGFUT,"[np.float64(24711.0), np.float64(0.0), np.float64(24711.0), np.float64(24713.833333333332), np.float64(24710.816666666666), np.float64(24716.85), np.float64(24777.666666666664), np.float64(24847.533333333333), np.float64(24911.366666666665), np.float64(24981.233333333334), np.float64(24643.966666666664), np.float64(24580.13333333333), np.float64(24510.266666666663), np.float64(24446.43333333333), np.float64(6.033333333332848), np.float64(0.00024415577408169834), 570, 0, 4, np.float64(0.002712692053471591), np.float64(0.0002367366759742036), -1, np.float64(24707.8), np.float64(24738.9), np.float64(24686.1), np.float64(24711.0), np.float64(0.0)]",,,,bc,24643.966666666664,24716.85
2025-08-06 09:30:00,0,24711.0,NIFTY25AUGFUT,"[np.float64(24711.0), np.float64(0.0), np.float64(24711.0), np.float64(24713.833333333332), np.float64(24710.816666666666), np.float64(24716.85), np.float64(24777.666666666664), np.float64(24847.533333333333), np.float64(24911.366666666665), np.float64(24981.233333333334), np.float64(24643.966666666664), np.float64(24580.13333333333), np.float64(24510.266666666663), np.float64(24446.43333333333), np.float64(6.033333333332848), np.float64(0.00024415577408169834), 570, 0, 4, np.float64(0.002712692053471591), np.float64(0.0002367366759742036), -1, np.float64(24707.8), np.float64(24738.9), np.float64(24686.1), np.float64(24711.0), np.float64(0.0)]",,,,bc,24643.966666666664,24716.85
2025-08-06 09:30:00,0,24711.0,NIFTY25AUGFUT,"[np.float64(24711.0), np.float64(0.0), np.float64(24711.0), np.float64(24713.833333333332), np.float64(24710.816666666666), np.float64(24716.85), np.float64(24777.666666666664), np.float64(24847.533333333333), np.float64(24911.366666666665), np.float64(24981.233333333334), np.float64(24643.966666666664), np.float64(24580.13333333333), np.float64(24510.266666666663), np.float64(24446.43333333333), np.float64(6.033333333332848), np.float64(0.00024415577408169834), 570, 0, 4, np.float64(0.002712692053471591), np.float64(0.0002367366759742036), -1, np.float64(24707.8), np.float64(24738.9), np.float64(24686.1), np.float64(24711.0), np.float64(0.0)]",,,,bc,24643.966666666664,24716.85
2025-08-06 09:30:00,0,24709.5,NIFTY25AUGFUT,"[np.float64(24709.5), np.float64(0.0), np.float64(24709.5), np.float64(24713.833333333332), np.float64(24710.816666666666), np.float64(24716.85), np.float64(24777.666666666664), np.float64(24847.533333333333), np.float64(24911.366666666665), np.float64(24981.233333333334), np.float64(24643.966666666664), np.float64(24580.13333333333), np.float64(24510.266666666663), np.float64(24446.43333333333), np.float64(6.033333333332848), np.float64(0.000244170595654823), 570, 0, 4, np.float64(0.002652151331809081), np.float64(0.00029745644387780184), -1, np.float64(24707.8), np.float64(24738.9), np.float64(24686.1), np.float64(24709.5), np.float64(0.0)]",,,,bc,24643.966666666664,24716.85
2025-08-06 09:30:00,0,24715.0,NIFTY25AUGFUT,"[np.float64(24715.0), np.float64(0.0), np.float64(24715.0), np.float64(24713.833333333332), np.float64(24710.816666666666), np.float64(24716.85), np.float64(24777.666666666664), np.float64(24847.533333333333), np.float64(24911.366666666665), np.float64(24981.233333333334), np.float64(24643.966666666664), np.float64(24580.13333333333), np.float64(24510.266666666663), np.float64(24446.43333333333), np.float64(6.033333333332848), np.float64(0.00024411625868229206), 570, 0, 4, np.float64(0.002874098051116184), np.float64(7.485332793844e-05), -1, np.float64(24707.8), np.float64(24738.9), np.float64(24686.1), np.float64(24715.0), np.float64(0.0)]",,,,bc,24643.966666666664,24716.85
2025-08-06 09:30:00,0,24711.9,NIFTY25AUGFUT,"[np.float64(24711.9), np.float64(0.0), np.float64(24711.9), np.float64(24713.833333333332), np.float64(24710.816666666666), np.float64(24716.85), np.float64(24777.666666666664), np.float64(24847.533333333333), np.float64(24911.366666666665), np.float64(24981.233333333334), np.float64(24643.966666666664), np.float64(24580.13333333333), np.float64(24510.266666666663), np.float64(24446.43333333333), np.float64(6.033333333332848), np.float64(0.00024414688200149917), 570, 0, 4, np.float64(0.0027490129586692216), np.float64(0.00020030835346521674), -1, np.float64(24707.8), np.float64(24738.9), np.float64(24686.1), np.float64(24711.9), np.float64(0.0)]",,,,bc,24643.966666666664,24716.85
2025-08-06 09:30:00,0,24712.2,NIFTY25AUGFUT,"[np.float64(24712.2), np.float64(0.0), np.float64(24712.2), np.float64(24713.833333333332), np.float64(24710.816666666666), np.float64(24716.85), np.float64(24777.666666666664), np.float64(24847.533333333333), np.float64(24911.366666666665), np.float64(24981.233333333334), np.float64(24643.966666666664), np.float64(24580.13333333333), np.float64(24510.266666666663), np.float64(24446.43333333333), np.float64(6.033333333332848), np.float64(0.00024414391811869635), 570, 0, 4, np.float64(0.0027611193391659673), np.float64(0.0001881661689367121), -1, np.float64(24707.8), np.float64(24738.9), np.float64(24686.1), np.float64(24712.2), np.float64(0.0)]",,,,bc,24643.966666666664,24716.85
2025-08-06 09:30:00,0,24711.3,NIFTY25AUGFUT,"[np.float64(24711.3), np.float64(0.0), np.float64(24711.3), np.float64(24713.833333333332), np.float64(24710.816666666666), np.float64(24716.85), np.float64(24777.666666666664), np.float64(24847.533333333333), np.float64(24911.366666666665), np.float64(24981.233333333334), np.float64(24643.966666666664), np.float64(24580.13333333333), np.float64(24510.266666666663), np.float64(24446.43333333333), np.float64(6.033333333332848), np.float64(0.0002441528099829976), 570, 0, 4, np.float64(0.002724799315832666), np.float64(0.00022459360697329856), -1, np.float64(24707.8), np.float64(24738.9), np.float64(24686.1), np.float64(24711.3), np.float64(0.0)]",,,,bc,24643.966666666664,24716.85
2025-08-06 09:30:00,0,24709.9,NIFTY25AUGFUT,"[np.float64(24709.9), np.float64(0.0), np.float64(24709.9), np.float64(24713.833333333332), np.float64(24710.816666666666), np.float64(24716.85), np.float64(24777.666666666664), np.float64(24847.533333333333), np.float64(24911.366666666665), np.float64(24981.233333333334), np.float64(24643.966666666664), np.float64(24580.13333333333), np.float64(24510.266666666663), np.float64(24446.43333333333), np.float64(6.033333333332848), np.float64(0.0002441666430593749), 570, 0, 4, np.float64(0.0026682962429365534), np.float64(0.00028126378496056597), -1, np.float64(24707.8), np.float64(24738.9), np.float64(24686.1), np.float64(24709.9), np.float64(0.0)]",,,,bc,24643.966666666664,24716.85
2025-08-06 09:30:00,0,24715.0,NIFTY25AUGFUT,"[np.float64(24715.0), np.float64(0.0), np.float64(24715.0), np.float64(24713.833333333332), np.float64(24710.816666666666), np.float64(24716.85), np.float64(24777.666666666664), np.float64(24847.533333333333), np.float64(24911.366666666665), np.float64(24981.233333333334), np.float64(24643.966666666664), np.float64(24580.13333333333), np.float64(24510.266666666663), np.float64(24446.43333333333), np.float64(6.033333333332848), np.float64(0.00024411625868229206), 570, 0, 4, np.float64(0.002874098051116184), np.float64(7.485332793844e-05), -1, np.float64(24707.8), np.float64(24738.9), np.float64(24686.1), np.float64(24715.0), np.float64(0.0)]",,,,bc,24643.966666666664,24716.85
